year,company,url
2018,STATE STREET MASTER FUNDS,https://www.sec.gov/Archives/edgar/data/1094885/000119312518263427/0001193125-18-263427.txt
2017,STATE STREET MASTER FUNDS,https://www.sec.gov/Archives/edgar/data/1094885/000119312517273099/0001193125-17-273099.txt
2016,STATE STREET MASTER FUNDS,https://www.sec.gov/Archives/edgar/data/1094885/000119312516697044/0001193125-16-697044.txt
2015,STATE STREET MASTER FUNDS,https://www.sec.gov/Archives/edgar/data/1094885/000119312515304894/0001193125-15-304894.txt
2018,STATE STREET INSTITUTIONAL FUNDS,https://www.sec.gov/Archives/edgar/data/1040061/000119312518263725/0001193125-18-263725.txt
2017,STATE STREET INSTITUTIONAL FUNDS,https://www.sec.gov/Archives/edgar/data/1040061/000119312517271856/0001193125-17-271856.txt
2016,STATE STREET INSTITUTIONAL FUNDS,https://www.sec.gov/Archives/edgar/data/1040061/000119312516696523/0001193125-16-696523.txt
2015,STATE STREET INSTITUTIONAL FUNDS,https://www.sec.gov/Archives/edgar/data/1040061/000119312515304648/0001193125-15-304648.txt
2014,STATE STREET INSTITUTIONAL FUNDS,https://www.sec.gov/Archives/edgar/data/1040061/000119312514326412/0001193125-14-326412.txt
2013,STATE STREET INSTITUTIONAL FUNDS,https://www.sec.gov/Archives/edgar/data/1040061/000104006113000016/0001040061-13-000016.txt
